Time (s),High (km),Vertical Speed (m/s)
9.47,0.948,77.046
9.52,0.952,76.447
9.57,0.956,75.851
9.62,0.96,75.256
9.67,0.963,74.662
9.72,0.967,74.071
9.77,0.971,73.481
9.82,0.974,72.893
9.87,0.978,72.306
9.92,0.982,71.721
9.97,0.985,71.138
10.02,0.989,70.556
10.07,0.992,69.976
10.12,0.996,69.397
10.17,0.999,68.82
10.22,1.003,68.244
10.27,1.006,67.67
10.32,1.009,67.097
10.37,1.013,66.526
10.42,1.016,65.956
10.47,1.019,65.387
10.52,1.023,64.82
10.57,1.026,64.254
10.62,1.029,63.689
10.67,1.032,63.126
10.72,1.035,62.563
10.77,1.038,62.003
10.82,1.042,61.443
10.87,1.045,60.885
10.92,1.048,60.329
10.97,1.051,59.773
11.02,1.054,59.219
11.07,1.057,58.667
11.12,1.059,58.115
11.17,1.062,57.565
11.22,1.065,57.016
11.27,1.068,56.468
11.32,1.071,55.921
11.37,1.074,55.375
11.42,1.076,54.83
11.47,1.079,54.287
11.52,1.082,53.745
11.57,1.084,53.203
11.62,1.087,52.663
11.67,1.09,52.124
11.72,1.092,51.586
11.77,1.095,51.049
11.82,1.097,50.513
11.87,1.1,49.978
11.92,1.102,49.444
11.97,1.105,48.911
12.02,1.107,48.379
12.07,1.11,47.847
12.12,1.112,47.317
12.17,1.114,46.788
12.22,1.117,46.259
12.27,1.119,45.732
12.32,1.121,45.205
12.37,1.124,44.679
12.42,1.126,44.154
12.47,1.128,43.63
12.52,1.13,43.106
12.57,1.132,42.584
12.62,1.134,42.062
12.67,1.137,41.541
12.72,1.139,41.021
12.77,1.141,40.501
12.82,1.143,39.982
12.87,1.145,39.464
12.92,1.147,38.947
12.97,1.149,38.431
13.02,1.15,37.915
13.07,1.152,37.4
13.12,1.154,36.885
13.17,1.156,36.372
13.22,1.158,35.859
13.27,1.16,35.347
13.32,1.161,34.835
13.37,1.163,34.324
13.42,1.165,33.814
13.47,1.166,33.304
13.52,1.168,32.794
13.57,1.17,32.285
13.62,1.171,31.777
13.67,1.173,31.269
13.72,1.174,30.762
13.77,1.176,30.256
13.82,1.178,29.75
13.87,1.179,29.245
13.92,1.18,28.74
13.97,1.182,28.237
14.02,1.183,27.733
14.07,1.185,27.23
14.12,1.186,26.728
14.17,1.187,26.226
14.22,1.189,25.725
14.27,1.19,25.224
14.32,1.191,24.724
14.37,1.192,24.224
14.42,1.194,23.724
14.47,1.195,23.225
14.52,1.196,22.727
14.57,1.197,22.229
14.62,1.198,21.731
14.67,1.199,21.234
14.72,1.2,20.737
14.77,1.201,20.24
14.82,1.202,19.744
14.87,1.203,19.249
14.92,1.204,18.753
14.97,1.205,18.259
15.02,1.206,17.764
15.07,1.207,17.27
15.12,1.208,16.776
15.17,1.209,16.282
15.22,1.209,15.789
15.27,1.21,15.296
15.32,1.211,14.803
15.37,1.212,14.311
15.42,1.212,13.819
15.47,1.213,13.327
15.52,1.214,12.836
15.57,1.214,12.344
15.62,1.215,11.853
15.67,1.215,11.362
15.72,1.216,10.872
15.77,1.217,10.381
15.82,1.217,9.891
15.87,1.218,9.401
15.92,1.218,8.911
15.97,1.218,8.422
16.02,1.219,7.932
16.07,1.219,7.443
16.12,1.22,6.954
16.17,1.22,6.466
16.22,1.22,5.978
16.27,1.221,5.49
16.32,1.221,5.002
16.37,1.221,4.515
16.42,1.221,4.027
16.47,1.221,3.54
16.52,1.222,3.053
16.57,1.222,2.567
16.62,1.222,2.081
16.67,1.222,1.593
16.72,1.222,1.105
16.77,1.222,0.616
16.82,1.222,0.128
16.87,1.222,-0.361
16.92,1.222,-0.849
16.925,1.222,-0.899
17.425,1.22,-5.755
17.925,1.216,-10.283
18.293,1.212,-13.127
18.601,1.208,-15.14
18.91,1.203,-16.852
19.226,1.197,-18.295
19.574,1.191,-19.573
19.976,1.183,-20.696
20.466,1.172,-21.664
20.966,1.161,-22.285
21.466,1.15,-22.658
21.966,1.139,-22.875
22.466,1.127,-22.999
22.966,1.116,-23.067
23.466,1.104,-23.101
23.966,1.092,-23.117
24.466,1.081,-23.122
24.966,1.069,-23.12
25.466,1.058,-23.113
25.966,1.046,-23.103
26.466,1.035,-23.093
26.966,1.023,-23.081
27.466,1.012,-23.069
27.966,1,-23.057
28.466,0.989,-23.045
28.966,0.977,-23.032
29.466,0.966,-23.019
29.966,0.954,-23.006
30.466,0.942,-22.992
30.966,0.931,-22.979
31.466,0.92,-22.966
31.966,0.908,-22.953
32.466,0.897,-22.94
32.966,0.885,-22.927
33.466,0.874,-22.913
33.966,0.862,-22.901
34.466,0.851,-22.887
34.966,0.839,-22.875
35.466,0.828,-22.862
35.966,0.816,-22.849
36.466,0.805,-22.836
36.966,0.794,-22.823
37.466,0.782,-22.81
37.966,0.771,-22.797
38.466,0.759,-22.785
38.966,0.748,-22.772
39.466,0.737,-22.759
39.966,0.725,-22.747
40.466,0.714,-22.734
40.966,0.703,-22.721
41.466,0.691,-22.709
41.966,0.68,-22.696
42.466,0.668,-22.684
42.966,0.657,-22.671
43.466,0.646,-22.659
43.966,0.634,-22.646
44.466,0.623,-22.634
44.966,0.612,-22.622
45.466,0.601,-22.61
45.966,0.589,-22.598
46.466,0.578,-22.585
46.966,0.567,-22.573
47.466,0.555,-22.56
47.966,0.544,-22.549
48.466,0.533,-22.537
48.966,0.522,-22.525
49.466,0.51,-22.513
49.966,0.499,-22.501
50.466,0.488,-22.489
50.966,0.477,-22.476
51.466,0.465,-22.464
51.966,0.454,-22.451
52.466,0.443,-22.439
52.966,0.432,-22.427
53.466,0.42,-22.414
53.966,0.409,-22.4
54.466,0.398,-22.389
54.966,0.387,-22.376
55.466,0.376,-22.364
55.966,0.364,-22.352
56.466,0.353,-22.34
56.966,0.342,-22.328
57.466,0.331,-22.316
57.966,0.32,-22.304
58.466,0.309,-22.291
58.966,0.298,-22.279
59.466,0.286,-22.267
59.966,0.275,-22.255
60.466,0.264,-22.243
60.966,0.253,-22.231
61.466,0.242,-22.219
61.966,0.231,-22.207
62.466,0.22,-22.195
62.966,0.209,-22.183
63.466,0.198,-22.172
63.966,0.186,-22.16
64.466,0.175,-22.148
64.966,0.164,-22.136
65.466,0.153,-22.125
65.966,0.142,-22.113
66.466,0.131,-22.101
66.966,0.12,-22.09
67.466,0.109,-22.078
67.966,0.098,-22.066
68.466,0.087,-22.055
68.966,0.076,-22.044
69.466,0.065,-22.032
69.966,0.054,-22.02
70.466,0.043,-22.009
70.966,0.032,-21.997
71.466,0.021,-21.986
71.966,0.01,-21.975
72.416,0,-21.965
