Time,Average Thrust
0.953,9.474
0.954,9.714
0.955,9.834
0.956,9.879
0.957,10.025
0.958,10.095
0.959,10.306
0.96,10.377
0.961,10.449
0.962,10.628
0.963,10.631
0.964,10.851
0.965,10.932
0.966,10.972
0.967,11.197
0.968,11.375
0.969,11.453
0.97,11.532
0.971,11.772
0.972,11.878
0.973,12.094
0.974,12.307
0.975,12.482
0.976,12.545
0.977,12.777
0.978,13.033
0.979,13.133
0.98,13.305
0.981,13.556
0.982,13.700
0.983,13.933
0.984,14.152
0.985,14.325
0.986,14.587
0.987,14.872
0.988,15.014
0.989,15.247
0.99,15.527
0.991,15.746
0.992,15.888
0.993,16.148
0.994,16.493
0.995,16.693
0.996,16.930
0.997,18.527
0.998,18.945
0.999,19.228
1,19.524
1.001,19.867
1.002,20.215
1.003,20.570
1.004,20.909
1.005,21.226
1.006,21.566
1.007,21.939
1.008,22.277
1.009,22.546
1.01,22.898
1.011,23.323
1.012,23.689
1.013,24.266
1.014,24.640
1.015,25.032
1.016,25.346
1.017,25.778
1.018,26.192
1.019,26.534
1.02,26.931
1.021,27.444
1.022,27.835
1.023,28.170
1.024,28.572
1.025,29.029
1.026,29.391
1.027,29.827
1.028,30.251
1.029,30.633
1.03,31.061
1.031,31.484
1.032,31.850
1.033,32.268
1.034,32.783
1.035,33.189
1.036,33.560
1.037,34.508
1.038,35.062
1.039,35.448
1.04,35.820
1.041,36.259
1.042,36.719
1.043,37.135
1.044,37.590
1.045,38.058
1.046,38.457
1.047,38.869
1.048,39.284
1.049,39.669
1.05,40.182
1.051,40.714
1.052,41.095
1.053,42.952
1.054,43.482
1.055,44.072
1.056,44.513
1.057,45.012
1.058,45.438
1.059,45.980
1.06,46.527
1.061,47.063
1.062,47.566
1.063,48.115
1.064,48.675
1.065,49.176
1.066,49.673
1.067,50.302
1.068,50.954
1.069,51.542
1.07,52.146
1.071,52.903
1.072,53.595
1.073,54.157
1.074,54.809
1.075,55.432
1.076,56.100
1.077,57.200
1.078,57.867
1.079,58.605
1.08,59.267
1.081,59.915
1.082,60.581
1.083,61.301
1.084,62.092
1.085,62.822
1.086,63.563
1.087,64.400
1.088,65.297
1.089,66.011
1.09,66.812
1.091,67.660
1.092,68.424
1.093,69.642
1.094,70.543
1.095,71.364
1.096,72.127
1.097,72.936
1.098,73.778
1.099,74.496
1.1,75.398
1.101,76.364
1.102,77.209
1.103,78.056
1.104,79.091
1.105,79.997
1.106,80.886
1.107,81.765
1.108,82.648
1.109,83.544
1.11,84.442
1.111,85.331
1.112,86.214
1.113,87.064
1.114,87.877
1.115,88.704
1.116,89.535
1.117,90.860
1.118,91.789
