position(mm),mass(g/mm)
1406,2.61649
1407,2.61649
1408,2.61649
1409,2.61649
1410,2.61649
1411,2.61649
1412,2.61649
1413,2.61649
1414,2.61649
1415,2.61649
1416,2.61649
1417,2.61649
1418,2.61649
1419,2.61649
1420,2.61649
1421,2.61649
1422,2.61649
1423,2.61649
1424,2.61649
1425,2.61649
1426,2.61649
1427,2.61649
1428,2.61649
1429,2.61649
1430,2.61649
1431,2.61649
1432,2.61649
1433,2.61649
1434,2.61649
1435,2.61649
1436,2.61649
1437,2.61649
1438,2.61649
1439,2.61649
1440,2.61649
1441,2.61649
1442,2.61649
1443,2.61649
1444,2.61649
1445,2.61649
1446,2.61649
1447,2.61649
1448,2.61649
1449,2.61649
1450,2.61649
1451,2.61649
1452,2.61649
1453,2.61649
1454,2.61649
1455,2.61649
1456,2.61649
1457,2.61649
1458,2.61649
1459,2.61649
1460,2.61649
1461,2.61649
1462,2.61649
1463,2.61649
1464,2.61649
1465,2.61649
1466,2.61649
1467,2.61649
1468,2.61649
1469,2.61649
1470,2.61649
1471,2.61649
1472,2.61649
1473,2.61649
1474,2.61649
1475,2.61649
1476,2.61649
1477,2.61649
1478,2.61649
1479,2.61649
1480,2.61649
1481,2.61649
1482,2.61649
1483,2.61649
1484,2.61649
1485,2.61649
1486,2.61649
1487,2.61649
1488,2.61649
1489,2.61649
1490,2.61649
1491,2.61649
1492,2.61649
1493,2.61649
1494,2.61649
1495,2.61649
1496,2.61649
1497,2.61649
1498,2.61649
1499,2.61649
1500,2.61649
1501,2.61649
1502,2.61649
1503,2.61649
1504,2.61649
1505,2.61649
1506,2.61649
1507,2.61649
1508,2.61649
1509,2.61649
1510,2.61649
1511,2.61649
1512,2.61649
1513,2.61649
1514,2.61649
1515,2.61649
1516,2.61649
1517,2.61649
1518,2.61649
1519,2.61649
1520,2.61649
1521,2.61649
1522,2.61649
1523,2.61649
1524,2.61649
1525,2.61649
1526,2.61649
1527,2.61649
1528,2.61649
1529,2.61649
1530,2.61649
1531,2.61649
1532,2.61649
1533,2.61649
1534,2.61649
1535,2.61649
1536,2.61649
1537,2.61649
1538,2.61649
1539,2.61649
1540,2.61649
1541,2.61649
1542,2.61649
1543,2.61649
1544,2.61649
1545,2.61649
1546,2.61649
1547,2.61649
1548,2.61649
1549,2.61649
1550,2.61649
1551,2.61649
1552,2.61649
1553,2.61649
1554,2.61649
1555,2.61649
1556,2.61649
1557,2.61649
1558,2.61649
1559,2.61649
1560,2.61649
1561,2.61649
1562,2.61649
1563,2.61649
1564,2.61649
1565,2.61649
1566,2.61649
1567,2.61649
1568,2.61649
1569,2.61649
1570,2.61649
1571,2.61649
1572,2.61649
1573,2.61649
1574,2.61649
1575,2.61649
1576,2.61649
1577,2.61649
1578,2.61649
1579,2.61649
1580,2.61649
1581,2.61649
1582,2.61649
1583,2.61649
1584,2.61649
1585,2.61649
1586,2.61649
1587,2.61649
1588,2.61649
1589,2.61649
1590,2.61649
1591,2.61649
1592,2.61649
1593,2.61649
1594,2.61649
1595,2.61649
1596,2.61649
1597,2.61649
1598,2.61649
1599,2.61649
1600,2.61649
1601,2.61649
1602,2.61649
1603,2.61649
1604,2.61649
1605,2.61649
1606,2.61649
1607,2.61649
1608,2.61649
1609,2.61649
1610,2.61649
1611,2.61649
1612,2.61649
1613,2.61649
1614,2.61649
1615,2.61649
1616,2.61649
1617,2.61649
1618,2.61649
1619,2.61649
1620,2.61649
1621,2.61649
1622,2.61649
1623,2.61649
1624,2.61649
1625,2.61649
1626,2.61649
1627,2.61649
1628,2.61649
1629,2.61649
1630,2.61649
1631,2.61649
1632,2.61649
1633,2.61649
1634,2.61649
1635,2.61649
1636,2.61649
1637,2.61649
1638,2.61649
1639,2.61649
1640,2.61649
1641,2.61649
1642,2.61649
1643,2.61649
1644,2.61649
1645,2.61649
1646,2.61649
1647,2.61649
1648,2.61649
1649,2.61649
1650,2.61649
1651,2.61649
1652,2.61649
1653,2.61649
1654,2.61649
1655,2.61649
1656,2.61649
1657,2.61649
1658,2.61649
1659,2.61649
1660,2.61649
1661,2.61649
1662,2.61649
1663,2.61649
1664,2.61649
1665,2.61649
1666,2.61649
1667,2.61649
1668,2.61649
1669,2.61649
1670,2.61649
1671,2.61649
1672,2.61649
1673,2.61649
1674,2.61649
1675,2.61649
1676,2.61649
1677,2.61649
1678,2.61649
1679,2.61649
1680,2.61649
1681,2.61649
1682,2.61649
1683,2.61649
1684,2.61649
1685,2.61649
1686,2.61649
1687,2.61649
1688,2.61649
1689,2.61649
1690,2.61649
1691,2.61649
1692,2.61649
1693,2.61649
1694,2.61649
1695,2.61649
1696,2.61649
1697,2.61649
1698,2.61649
1699,2.61649
1700,2.61649
1701,2.61649
1702,2.61649
1703,2.61649
1704,2.61649
1705,2.61649
1706,2.61649
1707,2.61649
1708,2.61649
1709,2.61649
1710,2.61649
1711,2.61649
1712,2.61649
1713,2.61649
1714,2.61649
1715,2.61649
1716,2.61649
1717,2.61649
1718,2.61649
1719,2.61649
1720,2.61649
1721,2.61649
1722,2.61649
1723,2.61649
1724,2.61649
1725,2.61649
1726,2.61649
1727,2.61649
1728,2.61649
1729,2.61649
1730,2.61649
1731,2.61649
1732,2.61649
1733,2.61649
1734,2.61649
1735,2.61649
1736,2.61649
1737,2.61649
1738,2.61649
1739,2.61649
1740,2.61649
1741,2.61649
1742,2.61649
1743,2.61649
1744,2.61649
1745,2.61649
1746,2.61649
1747,2.61649
1748,2.61649
1749,2.61649
1750,2.61649
1751,2.61649
1752,2.61649
1753,2.61649
1754,2.61649
1755,2.61649
1756,2.61649
1757,2.61649
1758,2.61649
1759,2.61649
1760,2.61649
1761,2.61649
1762,2.61649
1763,2.61649
1764,2.61649
1765,2.61649
1766,2.61649
1767,2.61649
1768,2.61649
1769,2.61649
1770,2.61649
1771,2.61649
1772,2.61649
1773,2.61649
1774,2.61649
1775,2.61649
1776,2.61649
1777,2.61649
1778,2.61649
1779,2.61649
1780,2.61649
1781,2.61649
1782,2.61649
1783,2.61649
1784,2.61649
1785,2.61649
1786,2.61649
1787,2.61649
1788,2.61649
1789,2.61649
1790,2.61649
1791,2.61649
1792,2.61649
1793,2.61649
1794,2.61649
1795,2.61649
1796,2.61649
1797,2.61649
1798,2.61649
1799,2.61649
1800,2.61649
1801,2.61649
1802,2.61649
1803,2.61649
1804,2.61649
1805,2.61649
1806,2.61649
1807,2.61649
1808,2.61649
1809,2.61649
1810,2.61649
1811,2.61649
1812,2.61649
1813,2.61649
1814,2.61649
1815,2.61649
1816,2.61649
1817,2.61649
1818,2.61649
1819,2.61649
